country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Macedonia,Europe,NW,5.6,9,83,75,0.7,0.03,1019,30.09,10,6,1,13.6,22
Macedonia,Europe,S,2.2,3.6,68,25,0.1,0,1019,30.09,10,6,1,1.3,2.2
Macedonia,Europe,W,2.2,3.6,88,25,0,0,1007,29.74,10,6,1,7.4,11.9
Madagascar,Indian,E,4.933333333,7.933333333,94.33333333,16.66666667,0,0,1024.333333,30.24333333,10,6,1,6.533333333,10.56666667
Madagascar,Indian,NE,6,9.6,69.75,2,0,0,1019,30.0875,10,6,1,9.675,15.575
Madagascar,Indian,SE,9.45,15.225,76.75,54.25,0.05,0.0025,1023.5,30.2225,10,6,1.75,8.625,13.85
Malawi,Africa,E,9.4,15.1,68,0,0,0,1021,30.15,10,6,1,6.7,10.8
Malawi,Africa,S,6.9,11.2,72,0,0,0,1024,30.24,10,6,1,8.9,14.4
Malawi,Africa,SE,3.025,4.85,43.75,7.25,0,0,1015.75,29.9925,10,6,1,5.65,9.1
Malawi,Africa,SW,11.9,19.1,88,25,0,0,1029,30.39,10,6,6,7.2,11.5
Malaysia,Asia,N,2.2,3.6,91.5,25,0.1,0.003333333,1009.666667,29.81833333,8.833333333,5,1,2.6,4.2
Malaysia,Asia,SE,2.2,3.6,79,25,0,0,1011,29.85,10,6,7,1.8,2.9
Malaysia,Asia,SW,2.2,3.6,89,25,1.4,0.06,1007,29.74,9,5,6,5.6,9
Malaysia,Asia,W,2.2,3.6,89,25,0.4,0.02,1010,29.83,9,5,1,2,3.2
Maldives,Indian,NW,11,17.6,72,48,0,0,1012,29.88,10,6,7,14.3,23
Maldives,Indian,W,15.2,24.5,78,81.66666667,0.633333333,0.023333333,1009.666667,29.80333333,10,6,1,24.23333333,39.03333333
Mali,Africa,E,4.3,6.8,94,25,0,0,1016,30,10,6,1,4.3,6.8
Mali,Africa,N,2.5,4,89,25,0,0,1016,30,10,6,1,8.5,13.7
Mali,Africa,NE,2.5,4,100,25,0.1,0,1016,30,10,6,1,9.4,15.1
Mali,Africa,NW,3.8,6.1,84,25,0.5,0.02,1014,29.94,10,6,1,6.3,10.1
Mali,Africa,S,2.2,3.6,89,25,0,0,1015,29.97,10,6,1,9.4,15.1
Mali,Africa,SE,6.9,11.2,100,50,0,0,1017,30.03,4,2,1,9.2,14.8
Mali,Africa,SW,3.25,5.2,100,25,1.6,0.065,1014,29.94,10,6,1,9.6,15.5
Mali,Africa,W,3.8,6.1,79,25,1,0.04,1015,29.97,10,6,1,11.9,19.1
Malta,Europe,E,5.566666667,8.866666667,81.33333333,16.66666667,0,0,1017,30.03,10,6,1,9.833333333,15.83333333
Malta,Europe,N,5.6,9,83,25,0.9,0.04,1013,29.91,10,6,1,29.1,46.8
Malta,Europe,NW,5.6,9,83,0,0,0,1018,30.06,10,6,1,11.4,18.4
Malta,Europe,W,4.3,6.8,73,0,0,0,1018,30.06,10,6,1,7.8,12.6
Marshall Islands,Pacific,E,12.75,20.55,73,75,0.1,0,1009.5,29.805,28,16.5,6,21.7,34.9
Marshall Islands,Pacific,NE,6.2,9.9,75,62.5,0.1,0.005,1010.5,29.845,28,16.5,6.5,15,24.1
Marshall Islands,Pacific,S,5.6,9,71,75,0.3,0.01,1012,29.87,24,14,6,13.4,21.6
Marshall Islands,Pacific,SW,5.45,8.85,81.5,88.5,0.45,0.02,1012,29.87,13,7.5,6,9.05,14.55
Mauritania,Africa,NW,16.125,25.925,76.25,11.75,0,0,1011.75,29.88,10,6,1,23.45,37.7
Mauritania,Africa,SE,12.3,19.8,70,11,0,0,1013,29.9,10,6,7,17.2,27.7
Mauritania,Africa,SW,15,24.1,81,89,1.95,0.08,1013,29.91,8.5,5,1,22.05,35.45
Mauritania,Africa,W,12.1,19.4,81,22.5,0,0,1014.5,29.97,10,6,1,17.25,27.75
Mauritius,Indian,E,10.9,17.55,74.75,56.25,0,0,1020.75,30.1425,10,6,1,18.725,30.15
Mauritius,Indian,NW,4.3,6.8,91,37.5,0.1,0,1018.5,30.075,10,6,1,9.05,14.6
Mauritius,Indian,SE,5.15,8.3,83,37.5,0,0,1021,30.15,10,6,3.5,12.2,19.6
Mexico,America,E,13.6,22,60,100,0,0,1026,30.29,9.7,6,6,9.6,15.5
Mexico,America,N,14.65,23.6,33,68.5,0,0,1024,30.245,14.5,8.5,6.5,7.6,12.2
Mexico,America,NE,11.9,19.1,40.5,62.5,0,0,1024.5,30.255,14.5,8.5,4,7.5,12.1
Mexico,America,NW,9.4,15.1,83,100,0,0,1025,30.26,1.6,0,5,11.4,18.4
Micronesia,Pacific,E,5.6,9,75,100,0,0,1010,29.83,24,14,7,11.6,18.7
Micronesia,Pacific,NW,5.6,9,81.5,62.5,0.1,0.005,1010.5,29.83,24,14,6.5,2.1,3.4
